scenario,RUSX,variable,region,2025,2030,2035,2040,2045,2050,unit
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Africa_Eastern,-0.032129966,-0.234013909,-0.518521803,-0.956916597,-1.69669068,-2.732486757,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Africa_Northern,3.594516,4.3265808,5.2677692,6.7067782,8.3565114,9.7714534,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Africa_Southern,4.099803269,3.76556484,3.375685148,2.639869491,1.7506138,0.710403453,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Africa_Western,7.288049813,8.660659449,9.573219881,8.363599033,5.912680186,3.1097321,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Argentina,-0.60428848,-0.49620258,-0.26960816,0.05310726,0.32113211,0.51542218,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Australia_NZ,11.74293023,12.49965826,13.22178765,13.86510486,14.37093979,14.82548606,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Brazil,-1.6659483,-2.2291532,-2.6409835,-3.1434218,-3.4615174,-3.7599839,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Canada,9.6680778,11.8376177,13.6799268,16.1562401,18.4153798,19.75578517,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Central America and Caribbean,-1.283197482,-1.282921765,-1.315595213,-1.317900436,-1.28158216,-1.27202441,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Central Asia,8.76888363,10.05398262,11.39376151,12.28968125,13.09633264,14.15092359,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,China,-42.62963792,-51.0390098,-55.69583593,-58.50913717,-60.76888031,-61.94043361,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Colombia,3.177386044,3.035764441,2.935295579,3.011847134,3.040003541,2.898805186,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,EU-12,-4.043398784,-3.938813274,-3.744981499,-3.417687073,-3.222584875,-3.2187503,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,EU-15,-29.4498892,-27.8731717,-27.3210439,-26.2438878,-25.1953549,-23.8633806,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Europe_Eastern,-0.967504773,-0.341007979,0.549422684,1.872483172,3.318590991,4.546696136,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Europe_Non_EU,-5.51279895,-5.91206498,-6.24357732,-6.45987413,-6.73992477,-6.99895643,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,European Free Trade Association,8.559679545,7.743713887,6.75059082,5.872590658,5.45421299,5.224205989,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,India,-23.26005673,-29.12501821,-34.70299445,-40.09920745,-44.97493852,-50.15532014,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Indonesia,10.40101956,11.00503772,11.34968008,11.45986649,11.04068845,9.702778428,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Japan,-15.81908935,-15.33962847,-14.43959482,-13.39667106,-12.46681963,-11.60413815,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Mexico,1.3847783,1.302497,0.6696087,0.1193755,-0.6123203,-0.9005136,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Middle East,47.712344,45.72641514,42.95193801,38.88192022,34.46043929,31.53105078,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Pakistan,-1.374384335,-1.627761179,-1.964883813,-2.428570333,-3.069791665,-3.689710394,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Russia,32.36034099,39.41751521,44.55316604,48.92500019,55.29938459,61.88030155,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,South Africa,1.56110225,2.15582942,2.66470885,3.22145936,3.95789175,4.59597977,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,South America_Northern,8.183627978,9.636305659,10.67690487,11.94750735,12.51758372,12.24271902,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,South America_Southern,-0.530551522,-0.654785658,-0.662518664,-0.703004667,-0.792203823,-0.904860404,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,South Asia,-0.802048,-1.144163,-1.472431,-1.906481,-2.46302,-3.1206734,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,South Korea,-10.1656913,-10.24085881,-10.1059802,-9.813093473,-9.467430047,-9.028096806,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Southeast Asia,-7.8780491,-9.6270362,-11.2710382,-13.1423662,-14.9256303,-16.1811619,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,Taiwan,-4.547535302,-4.577831939,-4.555487021,-4.483332456,-4.349675368,-4.208294584,EJ
SSP2-ref,YesRusX,Net Fossil Fuel Exports,USA,-7.936318,-5.4836232,-2.6884726,0.6350521,4.1755679,8.1060786,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Africa_Eastern,0.04807447,-0.027920165,-0.138182692,-0.367800108,-0.840785402,-1.409856762,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Africa_Northern,3.5021479,3.45232249,3.73772997,4.33178503,5.05854851,5.7932654,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Africa_Southern,4.131137379,3.857201472,3.544140305,2.889383759,1.945354987,0.893660346,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Africa_Western,7.012069155,7.275288739,7.320612552,7.132302358,6.366445216,4.951499506,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Argentina,-0.59106235,-0.50301277,-0.32262297,-0.01620645,0.28462825,0.48268042,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Australia_NZ,9.168541883,6.921864505,5.23975118,4.65121341,4.241125586,4.611972875,EJ
